id;identificador;nombre;cantidad_integrantes
1;optical card Canarias;microchip Programable Barrio;90474
2;Interno Lek e-tailers;Corporativo Productor Diseñador;12050
3;Marroquinería;Algodón vertical experiences;77477
4;Factores Increible Diseñador;Explanada capacitor Saudi;25250
5;invoice;Violeta ábanico metrics;50942
6;Extremadura cross-media;Marroquinería Raton;52643
7;Algodón revolutionary;Avon Sopa;36421
8;reinvent deposit multi-byte;Quetzal Pelota copy;14594
9;deposit Silla;conjunto;69909
10;back-end Plaza Hecho;invoice;9951
